user_id,signup_date,plan,monthly_revenue,churned,sessions_last_month
54,2020-01-14,Basic,20,0,8
55,2020-08-29,Basic,20,1,8
56,2022-02-15,Basic,20,1,5
57,2023-10-01,Basic,20,1,14
58,2021-07-18,Basic,20,0,6
59,2022-06-16,Free,0,1,3
60,2023-09-25,Pro,50,1,10
61,2020-04-01,Free,0,0,1
62,2023-10-22,Basic,20,1,9
63,2022-08-13,Basic,20,0,9
64,2023-12-22,Basic,20,0,11
65,2021-05-23,Enterprise,120,0,10
66,2022-02-14,Pro,50,0,16
67,2020-02-04,Pro,50,1,9
68,2020-07-24,Basic,20,0,14
69,2023-01-09,Pro,50,0,8
70,2023-11-12,Basic,20,0,8
71,2022-10-22,Pro,50,1,17
72,2022-10-18,Basic,20,0,5
73,2023-11-14,Enterprise,120,1,16
74,2021-07-19,Enterprise,120,0,9
75,2023-02-03,Pro,50,0,14
76,2021-12-03,Free,0,1,0
77,2021-02-05,Free,0,1,4
78,2021-12-30,Pro,50,0,7
79,2020-06-10,Free,0,0,1
80,2020-07-20,Pro,50,0,12
81,2022-09-22,Basic,20,0,16
82,2020-09-26,Basic,20,0,7
83,2022-03-26,Enterprise,120,1,13
84,2023-07-18,Basic,20,0,6
85,2021-03-31,Basic,20,1,7
86,2023-06-29,Basic,20,0,11
87,2022-10-13,Free,0,1,4
88,2020-10-22,Pro,50,0,15
89,2021-12-20,Free,0,1,4
90,2020-12-03,Enterprise,120,0,14
91,2022-05-28,Pro,50,0,7
92,2022-12-12,Free,0,0,2
93,2022-03-02,Pro,50,0,15
94,2020-08-04,Basic,20,0,13
95,2022-02-02,Free,0,0,3
96,2020-07-06,Enterprise,120,0,7
97,2021-01-14,Free,0,0,3
98,2021-05-07,Free,0,1,3
99,2022-11-30,Basic,20,0,13
100,2023-03-26,Basic,20,0,9
101,2020-01-15,Basic,20,0,6
102,2020-03-05,Pro,50,0,8
103,2021-06-04,Basic,20,0,10
104,2023-09-29,Basic,20,1,14
105,2023-02-26,Free,0,1,2
106,2021-10-09,Free,0,1,1
107,2022-12-22,Free,0,1,4
108,2023-03-08,Free,0,0,1
109,2021-08-15,Basic,20,0,15
110,2021-01-26,Free,0,0,2
111,2021-02-22,Free,0,0,4
112,2020-10-15,Free,0,1,1
113,2021-01-13,Enterprise,120,0,7
114,2020-08-18,Enterprise,120,0,13
115,2022-10-14,Basic,20,0,9
116,2020-02-10,Enterprise,120,0,9
117,2022-11-17,Pro,50,0,5
118,2020-05-14,Basic,20,0,12
119,2020-07-19,Free,0,1,4
120,2022-02-18,Pro,50,0,12
121,2022-07-18,Pro,50,0,7
122,2022-11-22,Basic,20,0,5
123,2022-12-07,Pro,50,0,13
124,2021-05-17,Basic,20,0,9
125,2021-02-10,Pro,50,0,7
126,2022-03-15,Enterprise,120,0,8
127,2020-04-08,Free,0,0,4
128,2021-11-14,Pro,50,0,12
129,2021-12-26,Basic,20,0,11
130,2022-08-18,Basic,20,1,12
131,2021-09-04,Pro,50,0,14
132,2021-10-04,Free,0,1,4
133,2022-10-25,Basic,20,0,17
134,2023-05-26,Free,0,1,2
135,2021-05-17,Basic,20,0,18
136,2022-02-05,Basic,20,0,7
137,2021-02-01,Pro,50,0,12
138,2022-05-20,Free,0,1,2
139,2022-03-05,Basic,20,0,15
140,2021-01-27,Free,0,0,3
141,2020-07-25,Pro,50,0,11
142,2022-11-04,Enterprise,120,1,7
143,2022-06-10,Enterprise,120,0,12
144,2022-05-13,Pro,50,0,8
145,2022-01-12,Pro,50,1,9
146,2023-06-18,Free,0,1,0
147,2021-07-17,Free,0,1,2
148,2022-10-17,Basic,20,0,10
149,2020-04-05,Pro,50,0,6
150,2021-04-29,Enterprise,120,1,11
151,2023-12-01,Free,0,1,2
152,2020-08-18,Enterprise,120,0,8
153,2022-01-18,Basic,20,0,10
154,2023-04-09,Basic,20,1,8
155,2021-06-24,Free,0,1,3
156,2022-11-25,Free,0,0,1
157,2021-06-08,Basic,20,0,17
158,2023-03-29,Basic,20,0,12
159,2023-06-20,Free,0,0,2
160,2023-01-14,Basic,20,0,17
161,2021-07-31,Pro,50,0,12
162,2021-11-12,Pro,50,0,6
163,2021-07-10,Enterprise,120,0,10
164,2022-10-09,Free,0,1,2
165,2021-10-07,Free,0,0,3
166,2022-03-06,Pro,50,0,7
167,2022-11-17,Basic,20,1,9
168,2023-09-25,Free,0,0,2
169,2023-09-16,Free,0,1,5
170,2023-10-03,Basic,20,1,16
171,2023-06-08,Free,0,1,4
172,2020-07-08,Free,0,1,2
173,2023-06-02,Free,0,1,3
174,2023-11-09,Free,0,0,3
175,2023-11-01,Basic,20,0,10
176,2023-07-30,Basic,20,0,8
177,2021-09-24,Basic,20,0,9
178,2021-09-19,Free,0,0,4
179,2022-08-30,Free,0,0,3
180,2023-07-06,Basic,20,0,11
181,2023-10-14,Basic,20,0,11
182,2021-12-10,Basic,20,0,7
183,2023-12-05,Free,0,0,2
184,2021-10-10,Enterprise,120,0,10
185,2020-11-13,Free,0,1,2
186,2023-06-02,Basic,20,0,9
187,2023-06-11,Basic,20,0,9
188,2021-11-14,Basic,20,0,6
189,2021-10-25,Free,0,0,1
190,2023-10-29,Basic,20,0,8
191,2023-06-10,Pro,50,0,7
192,2023-02-10,Free,0,1,2
193,2021-03-17,Free,0,1,1
194,2021-07-17,Free,0,1,2
195,2023-07-15,Pro,50,0,6
196,2023-11-10,Free,0,0,2
197,2023-11-11,Enterprise,120,0,7
198,2023-02-10,Basic,20,0,7
199,2022-08-09,Enterprise,120,0,13
200,2023-01-09,Enterprise,120,0,8
201,2021-11-29,Basic,20,0,13
202,2020-04-22,Free,0,0,2
203,2020-01-02,Free,0,0,4
204,2021-10-03,Free,0,1,3
205,2020-08-07,Pro,50,0,16
206,2022-05-04,Free,0,1,1
207,2023-06-02,Free,0,1,7
208,2021-01-19,Basic,20,0,9
209,2023-11-27,Enterprise,120,0,15
210,2023-02-27,Free,0,0,1
211,2022-12-12,Free,0,1,1
212,2021-12-30,Free,0,1,5
213,2023-12-10,Enterprise,120,0,6
214,2020-09-03,Basic,20,1,13
215,2022-04-15,Free,0,1,7
216,2020-07-21,Free,0,1,2
217,2023-04-22,Free,0,1,2
218,2020-05-02,Free,0,1,2
219,2021-02-04,Enterprise,120,0,11
220,2022-02-05,Pro,50,0,10
221,2020-10-20,Basic,20,1,6
222,2020-10-06,Pro,50,0,9
223,2022-06-02,Free,0,0,3
224,2020-07-16,Pro,50,0,17
225,2022-09-08,Pro,50,0,10
226,2022-01-21,Free,0,0,7
227,2020-05-23,Pro,50,0,14
228,2021-08-31,Free,0,1,5
229,2023-05-09,Free,0,0,3
230,2023-02-21,Free,0,0,4
231,2020-07-05,Basic,20,0,7
232,2023-09-11,Pro,50,0,9
233,2021-04-08,Enterprise,120,0,6
234,2023-10-04,Basic,20,0,9
235,2021-10-21,Pro,50,0,9
236,2022-02-02,Pro,50,0,17
237,2022-08-12,Free,0,1,4
238,2021-02-06,Basic,20,0,10
239,2023-10-01,Free,0,1,1
240,2020-05-26,Basic,20,1,14
241,2023-03-17,Enterprise,120,0,9
242,2022-05-13,Free,0,1,6
243,2021-05-03,Pro,50,1,12
244,2022-07-17,Basic,20,1,11
245,2021-07-04,Basic,20,0,10
246,2020-12-03,Free,0,0,3
247,2022-05-21,Free,0,0,2
248,2021-10-02,Free,0,1,1
249,2021-04-17,Free,0,1,3
250,2020-05-30,Free,0,1,2
251,2023-12-09,Basic,20,0,9
252,2023-08-14,Free,0,1,8
253,2020-09-19,Pro,50,1,16
254,2020-05-23,Basic,20,1,9
255,2020-12-11,Basic,20,0,14
256,2021-09-15,Basic,20,0,14
257,2022-10-13,Basic,20,0,11
258,2022-05-30,Enterprise,120,0,9
259,2020-01-02,Free,0,1,3
260,2022-06-15,Free,0,1,5
261,2023-08-20,Pro,50,0,12
262,2020-09-10,Free,0,1,6
263,2021-03-28,Free,0,1,1
264,2022-11-26,Free,0,1,3
265,2023-03-29,Free,0,1,0
266,2022-10-11,Basic,20,0,13
267,2020-01-09,Free,0,0,3
268,2023-06-10,Pro,50,0,16
269,2023-01-27,Pro,50,0,8
270,2022-03-26,Basic,20,0,13
271,2020-07-26,Basic,20,0,10
272,2023-02-28,Pro,50,1,12
273,2021-02-07,Free,0,1,2
274,2020-05-31,Pro,50,0,8
275,2020-02-23,Pro,50,1,11
276,2023-02-17,Pro,50,0,13
277,2021-09-19,Basic,20,0,11
278,2021-08-09,Free,0,1,3
279,2023-12-14,Basic,20,1,9
280,2023-12-16,Pro,50,0,9
281,2020-04-13,Free,0,0,2
282,2020-09-10,Pro,50,0,4
283,2023-06-04,Free,0,1,2
284,2023-02-09,Free,0,1,2
285,2021-05-24,Free,0,1,3
286,2020-04-08,Free,0,0,2
287,2020-06-01,Basic,20,0,10
288,2022-07-02,Free,0,1,3
289,2022-05-27,Enterprise,120,1,6
290,2020-12-03,Basic,20,0,9
291,2022-04-01,Free,0,1,5
292,2023-04-01,Basic,20,1,6
293,2022-08-14,Pro,50,0,11
294,2020-06-09,Pro,50,0,14
295,2022-03-11,Free,0,1,3
296,2021-02-01,Pro,50,0,14
297,2023-07-24,Pro,50,0,15
298,2022-03-26,Free,0,1,2
299,2023-11-16,Free,0,0,3
300,2023-03-04,Basic,20,0,13
301,2023-05-03,Free,0,1,4
302,2021-02-04,Pro,50,0,15
303,2021-10-01,Free,0,1,1
304,2022-11-22,Enterprise,120,0,7
305,2021-11-18,Basic,20,0,7
306,2021-04-04,Free,0,1,6
307,2022-08-12,Free,0,1,1
308,2021-04-14,Basic,20,0,3
309,2023-10-30,Pro,50,1,18
310,2022-11-11,Pro,50,0,14
311,2022-01-19,Free,0,0,1
312,2020-02-07,Free,0,1,2
313,2020-08-17,Free,0,1,2
314,2023-10-20,Basic,20,0,12
315,2021-07-16,Free,0,0,3
316,2021-03-13,Basic,20,0,11
317,2023-07-30,Basic,20,1,12
318,2020-01-27,Enterprise,120,0,9
319,2020-08-13,Free,0,1,4
320,2023-07-24,Free,0,1,4
321,2022-03-08,Basic,20,1,10
322,2020-10-10,Basic,20,1,8
323,2022-05-28,Free,0,1,4
324,2022-08-17,Enterprise,120,0,9
325,2021-03-28,Pro,50,0,5
326,2022-10-16,Free,0,1,5
327,2022-03-26,Free,0,1,3
328,2021-10-20,Basic,20,0,9
329,2021-06-30,Pro,50,1,14
330,2023-04-30,Free,0,0,2
331,2022-12-08,Basic,20,0,6
332,2020-01-17,Basic,20,0,6
333,2023-04-10,Free,0,1,1
334,2023-05-28,Basic,20,0,14
335,2020-06-06,Enterprise,120,0,9
336,2021-04-21,Free,0,1,5
337,2022-12-05,Free,0,1,2
338,2023-10-28,Basic,20,0,9
339,2021-06-01,Pro,50,0,5
340,2020-04-08,Enterprise,120,0,14
341,2022-11-26,Basic,20,0,8
342,2020-10-06,Pro,50,0,10
343,2023-10-04,Basic,20,1,18
344,2021-05-11,Basic,20,0,10
345,2020-10-28,Free,0,0,3
346,2020-06-29,Free,0,0,0
347,2021-08-29,Free,0,0,3
348,2023-01-27,Basic,20,1,11
349,2021-11-30,Free,0,1,2
350,2022-09-19,Enterprise,120,0,8
351,2023-02-13,Free,0,1,4
352,2020-07-09,Free,0,1,4
353,2020-09-09,Basic,20,0,8
354,2022-09-07,Pro,50,0,12
355,2022-07-16,Free,0,1,4
356,2023-03-30,Free,0,0,3
357,2023-07-03,Enterprise,120,0,10
358,2023-09-08,Free,0,0,3
359,2020-05-07,Free,0,0,2
360,2020-01-18,Pro,50,0,15
361,2021-07-19,Free,0,1,2
362,2021-07-23,Basic,20,1,11
363,2023-09-08,Free,0,1,1
364,2021-11-16,Free,0,1,3
365,2021-09-17,Free,0,1,0
366,2023-08-04,Free,0,1,4
367,2022-05-03,Free,0,1,0
368,2022-08-19,Free,0,1,4
369,2020-06-03,Pro,50,0,11
370,2021-05-04,Free,0,1,1
371,2023-11-10,Basic,20,0,15
372,2022-02-23,Pro,50,0,11
373,2023-02-01,Basic,20,1,9
374,2023-11-17,Free,0,0,3
375,2020-09-02,Enterprise,120,0,11
376,2023-04-14,Free,0,1,4
377,2022-11-28,Free,0,1,5
378,2022-01-28,Pro,50,0,11
379,2021-06-21,Basic,20,1,12
380,2022-07-09,Basic,20,0,5
381,2021-02-11,Free,0,1,3
382,2021-06-08,Basic,20,0,6
383,2022-04-07,Free,0,0,3
384,2022-06-21,Enterprise,120,0,9
385,2020-02-05,Free,0,1,9
386,2021-11-15,Pro,50,0,10
387,2020-01-20,Basic,20,1,8
388,2020-11-16,Pro,50,1,13
389,2021-05-26,Pro,50,0,8
390,2021-02-03,Basic,20,1,10
391,2021-10-15,Free,0,0,3
392,2022-08-29,Free,0,1,11
393,2021-04-15,Free,0,0,2
394,2023-03-12,Pro,50,0,15
395,2023-01-20,Pro,50,0,10
396,2023-10-09,Basic,20,1,9
397,2022-04-13,Free,0,0,2
398,2021-12-27,Free,0,0,4
399,2022-05-03,Basic,20,0,7
400,2020-02-20,Basic,20,0,13
401,2021-07-28,Pro,50,0,7
402,2023-04-28,Enterprise,120,1,11
403,2023-02-22,Free,0,1,2
404,2020-05-29,Basic,20,0,6
405,2020-11-09,Basic,20,0,15
406,2021-07-23,Free,0,1,5
407,2023-09-27,Free,0,1,3
408,2020-10-31,Free,0,0,5
409,2021-11-12,Pro,50,1,9
410,2022-04-17,Basic,20,1,12
411,2022-12-13,Basic,20,1,14
412,2022-09-29,Enterprise,120,0,11
413,2021-03-19,Pro,50,1,9
414,2021-09-04,Free,0,0,3
415,2022-09-19,Basic,20,0,12
416,2020-09-20,Basic,20,0,15
417,2022-12-12,Pro,50,0,11
418,2022-09-30,Pro,50,1,9
419,2020-01-05,Basic,20,0,7
420,2023-01-31,Free,0,0,1
421,2023-05-04,Pro,50,0,8
422,2022-02-12,Free,0,1,4
423,2022-05-26,Free,0,0,2
424,2022-09-18,Free,0,0,4
425,2022-06-02,Free,0,1,3
426,2023-10-05,Free,0,1,2
427,2020-02-16,Pro,50,0,5
428,2022-05-16,Enterprise,120,0,8
429,2022-04-02,Free,0,0,2
430,2022-07-24,Free,0,0,3
431,2021-10-17,Free,0,0,4
432,2020-09-25,Free,0,1,2
433,2021-01-04,Free,0,1,0
434,2021-09-27,Enterprise,120,0,8
435,2023-02-03,Free,0,1,2
436,2021-10-18,Basic,20,0,16
437,2020-04-29,Free,0,1,4
438,2022-04-10,Pro,50,0,8
439,2022-12-17,Pro,50,0,12
440,2023-10-01,Enterprise,120,0,11
441,2022-01-10,Pro,50,0,7
442,2020-04-26,Free,0,0,0
443,2022-03-01,Free,0,1,2
444,2023-02-24,Basic,20,1,10
445,2023-11-17,Free,0,1,7
446,2022-10-09,Basic,20,0,7
447,2022-12-17,Free,0,0,8
448,2021-09-25,Free,0,0,0
449,2021-05-27,Basic,20,0,9
450,2022-03-12,Basic,20,1,9
451,2023-01-24,Pro,50,1,8
452,2023-02-15,Free,0,0,4
453,2021-07-13,Basic,20,0,16
454,2021-05-02,Free,0,0,3
455,2023-06-14,Free,0,1,5
456,2022-06-15,Basic,20,1,14
457,2023-07-19,Free,0,0,1
458,2023-04-27,Free,0,0,5
459,2021-12-04,Free,0,1,4
460,2021-08-03,Free,0,0,4
461,2022-02-28,Free,0,1,0
462,2022-05-10,Free,0,0,2
463,2020-09-03,Free,0,0,5
464,2023-01-04,Free,0,0,6
465,2020-06-02,Basic,20,0,4
466,2023-12-29,Free,0,1,6
467,2022-09-23,Free,0,0,3
468,2023-01-14,Free,0,0,2
469,2021-11-27,Basic,20,0,15
470,2023-08-01,Pro,50,0,12
471,2023-05-28,Pro,50,1,7
472,2022-12-28,Pro,50,0,20
473,2022-12-06,Basic,20,0,12
474,2022-10-05,Basic,20,0,7
475,2020-04-03,Basic,20,0,4
476,2022-08-15,Free,0,1,5
477,2022-10-08,Free,0,1,2
478,2021-03-28,Free,0,1,3
479,2023-05-12,Enterprise,120,0,5
480,2022-06-30,Basic,20,0,11
481,2020-08-05,Pro,50,0,12
482,2021-04-18,Free,0,1,3
483,2021-03-07,Basic,20,0,12
484,2020-12-06,Free,0,1,2
485,2021-07-04,Free,0,1,5
486,2023-08-05,Pro,50,0,16
487,2023-07-01,Basic,20,0,10
488,2020-12-22,Free,0,1,4
489,2020-01-23,Pro,50,0,11
490,2021-06-05,Free,0,0,5
491,2023-01-28,Enterprise,120,1,7
492,2022-03-12,Free,0,0,2
493,2023-04-18,Free,0,0,1
494,2023-05-31,Free,0,1,4
495,2022-01-31,Free,0,1,2
496,2021-03-17,Free,0,0,2
497,2022-02-07,Basic,20,0,9
498,2022-10-12,Pro,50,1,7
499,2023-09-10,Pro,50,0,17
500,2021-05-30,Free,0,1,7
501,2022-11-05,Basic,20,0,9
502,2022-03-02,Free,0,1,3
503,2020-12-01,Free,0,0,3
504,2020-09-14,Basic,20,0,9
505,2021-05-11,Basic,20,1,11
506,2022-06-14,Free,0,1,4
507,2020-06-08,Free,0,1,5
508,2022-05-01,Enterprise,120,0,6
509,2021-11-20,Free,0,1,4
510,2021-01-14,Basic,20,1,16
511,2022-08-14,Basic,20,0,8
512,2021-11-21,Free,0,1,3
513,2023-12-21,Free,0,1,2
514,2023-07-15,Free,0,0,1
515,2023-12-11,Pro,50,0,3
516,2023-04-06,Basic,20,0,11
517,2022-12-02,Basic,20,1,15
518,2020-10-11,Enterprise,120,0,8
519,2021-01-31,Pro,50,0,5
520,2020-01-12,Basic,20,0,7
521,2023-08-18,Basic,20,0,6
522,2023-06-30,Basic,20,0,8
523,2021-05-13,Basic,20,0,8
524,2022-01-23,Basic,20,0,7
525,2020-02-04,Basic,20,0,7
526,2021-12-27,Free,0,0,6
527,2022-04-28,Basic,20,0,15
528,2020-03-30,Free,0,1,4
529,2022-02-14,Free,0,0,12
530,2021-08-27,Free,0,0,3
531,2022-08-27,Basic,20,1,8
532,2022-10-18,Basic,20,0,8
533,2021-02-21,Free,0,0,5
534,2020-04-24,Basic,20,0,10
535,2021-09-08,Basic,20,1,8
536,2023-05-04,Free,0,1,2
537,2022-04-05,Basic,20,0,9
538,2023-01-03,Pro,50,0,7
539,2021-02-16,Pro,50,0,11
540,2023-10-31,Basic,20,0,9
541,2023-12-14,Basic,20,1,8
542,2021-12-29,Free,0,0,3
543,2023-07-24,Free,0,1,4
544,2022-10-17,Free,0,0,4
545,2022-01-30,Enterprise,120,0,12
546,2021-11-06,Free,0,0,6
547,2023-11-18,Free,0,1,2
548,2021-04-01,Pro,50,0,9
549,2022-07-08,Enterprise,120,0,8
550,2020-07-10,Pro,50,0,7
551,2022-01-08,Free,0,0,3
552,2023-01-27,Free,0,0,4
553,2022-09-04,Free,0,1,3
554,2022-10-05,Free,0,1,3
555,2020-04-05,Free,0,0,4
556,2021-10-24,Basic,20,0,13
557,2023-04-28,Enterprise,120,0,9
558,2020-02-06,Free,0,0,2
559,2023-10-24,Basic,20,0,6
560,2020-10-05,Basic,20,0,11
561,2020-08-04,Free,0,0,2
562,2022-05-16,Basic,20,0,10
563,2022-05-22,Free,0,0,5
564,2023-07-20,Free,0,0,4
565,2020-03-02,Pro,50,1,13
566,2021-08-18,Free,0,1,5
567,2021-12-29,Enterprise,120,1,9
568,2023-09-27,Free,0,1,5
569,2021-01-31,Basic,20,0,12
570,2021-11-29,Basic,20,0,9
571,2022-11-08,Free,0,1,2
572,2020-06-25,Free,0,1,2
573,2021-01-30,Basic,20,0,9
574,2021-03-20,Pro,50,0,10
575,2023-06-10,Pro,50,0,5
576,2020-03-16,Basic,20,0,13
577,2020-09-21,Pro,50,0,7
578,2021-03-30,Basic,20,1,14
579,2021-12-18,Pro,50,1,10
580,2022-01-04,Basic,20,1,6
581,2023-11-08,Basic,20,0,10
582,2022-04-30,Pro,50,0,5
583,2023-10-22,Free,0,0,0
584,2020-05-23,Pro,50,0,9
585,2022-06-03,Basic,20,0,8
586,2022-12-28,Free,0,1,2
587,2023-01-27,Free,0,0,2
588,2021-01-30,Free,0,0,3
589,2022-11-14,Basic,20,1,14
590,2022-08-05,Pro,50,1,14
591,2022-06-09,Free,0,0,6
592,2023-03-20,Pro,50,0,11
593,2023-03-13,Pro,50,0,15
594,2021-07-22,Free,0,0,1
595,2022-11-28,Pro,50,0,15
596,2020-04-18,Enterprise,120,0,13
597,2022-12-01,Pro,50,0,9
598,2023-04-24,Pro,50,0,11
599,2022-07-23,Enterprise,120,0,11
600,2021-02-01,Basic,20,0,7
601,2023-05-31,Free,0,0,3
602,2021-09-25,Pro,50,0,5
603,2023-03-02,Basic,20,0,5
604,2023-04-01,Basic,20,0,8
605,2023-05-23,Free,0,0,6
606,2022-01-02,Pro,50,0,7
607,2020-08-22,Free,0,1,4
608,2021-10-19,Enterprise,120,0,9
609,2022-01-20,Free,0,0,4
610,2021-08-10,Free,0,1,2
611,2022-10-29,Basic,20,0,12
612,2023-01-02,Free,0,0,5
613,2022-08-11,Basic,20,0,13
614,2021-05-06,Enterprise,120,0,9
615,2022-07-01,Pro,50,0,10
616,2023-06-30,Free,0,0,1
617,2023-06-07,Free,0,1,6
618,2023-04-12,Pro,50,0,12
619,2023-04-06,Enterprise,120,1,13
620,2020-06-18,Basic,20,1,6
621,2023-11-17,Basic,20,0,9
622,2022-08-03,Free,0,1,4
623,2022-03-05,Pro,50,0,8
624,2021-09-25,Basic,20,1,11
625,2023-05-02,Free,0,0,4
626,2020-01-29,Free,0,0,4
627,2023-04-03,Pro,50,1,10
628,2023-12-16,Free,0,0,3
629,2020-12-04,Free,0,0,5
630,2023-10-20,Basic,20,0,4
631,2023-09-27,Free,0,1,0
632,2021-05-14,Free,0,0,2
633,2021-05-25,Pro,50,0,8
634,2023-09-12,Pro,50,0,11
635,2020-08-04,Pro,50,0,13
636,2023-08-17,Pro,50,0,5
637,2023-03-01,Basic,20,1,10
638,2022-12-29,Pro,50,0,6
639,2023-06-29,Free,0,1,8
640,2023-12-09,Basic,20,1,10
641,2021-03-20,Enterprise,120,0,10
642,2022-05-25,Free,0,1,5
643,2023-04-20,Free,0,1,4
644,2020-06-15,Basic,20,0,10
645,2020-03-31,Free,0,1,3
646,2021-12-14,Free,0,1,3
647,2020-02-08,Pro,50,0,7
648,2023-02-23,Enterprise,120,1,10
649,2020-06-21,Basic,20,0,11
650,2021-10-14,Free,0,0,2
651,2022-01-23,Free,0,0,3
652,2023-05-28,Pro,50,0,13
653,2022-12-17,Basic,20,0,10
654,2021-04-20,Free,0,0,5
655,2021-03-31,Basic,20,1,11
656,2022-04-08,Free,0,1,5
657,2022-06-13,Basic,20,1,8
658,2023-10-16,Pro,50,1,11
659,2022-10-21,Basic,20,1,11
660,2021-01-21,Basic,20,0,8
661,2020-12-13,Free,0,1,4
662,2020-07-08,Pro,50,0,11
663,2021-05-19,Basic,20,1,6
664,2023-04-29,Free,0,1,0
665,2023-10-24,Basic,20,0,10
666,2023-12-03,Free,0,0,2
667,2022-04-03,Pro,50,0,16
668,2022-07-17,Basic,20,0,17
669,2022-07-22,Enterprise,120,0,7
670,2023-02-14,Free,0,1,3
671,2020-05-13,Pro,50,0,11
672,2020-02-27,Basic,20,0,16
673,2021-11-15,Pro,50,0,12
674,2021-11-02,Free,0,1,5
675,2020-06-21,Basic,20,0,3
676,2022-03-25,Pro,50,0,7
677,2023-03-18,Free,0,0,4
678,2020-03-20,Free,0,1,3
679,2022-06-04,Basic,20,0,10
680,2023-05-21,Basic,20,0,12
681,2020-07-21,Free,0,1,3
682,2022-02-02,Free,0,1,1
683,2023-06-06,Free,0,0,5
684,2023-06-04,Pro,50,0,9
685,2023-11-26,Basic,20,0,12
686,2020-02-16,Pro,50,0,14
687,2023-06-10,Enterprise,120,0,9
688,2023-08-21,Basic,20,0,12
689,2023-03-12,Free,0,1,2
690,2023-12-09,Free,0,0,3
691,2023-10-28,Free,0,1,4
692,2023-07-06,Enterprise,120,0,11
693,2021-10-17,Basic,20,0,9
694,2021-04-15,Free,0,1,3
695,2022-08-28,Free,0,0,5
696,2022-11-01,Basic,20,0,12
697,2023-09-15,Basic,20,0,11
698,2022-01-05,Free,0,1,3
699,2022-02-22,Enterprise,120,0,6
700,2022-08-25,Basic,20,0,11
701,2020-12-23,Free,0,1,5
702,2022-08-29,Pro,50,0,15
703,2023-12-02,Free,0,1,2
704,2021-10-29,Enterprise,120,0,14
705,2021-01-07,Enterprise,120,0,11
706,2022-10-28,Pro,50,1,7
707,2023-02-19,Pro,50,1,14
708,2023-10-03,Free,0,0,4
709,2021-11-06,Enterprise,120,0,10
710,2020-03-30,Basic,20,1,4
711,2021-11-28,Pro,50,0,10
712,2023-09-01,Enterprise,120,0,8
713,2023-04-16,Enterprise,120,0,2
714,2021-06-23,Pro,50,0,8
715,2022-01-01,Free,0,1,3
716,2022-05-18,Enterprise,120,0,9
717,2020-02-10,Basic,20,1,5
718,2022-01-09,Enterprise,120,0,16
719,2021-05-16,Basic,20,0,9
720,2022-08-16,Free,0,1,1
721,2023-03-14,Free,0,1,2
722,2023-05-09,Basic,20,0,14
723,2022-07-17,Pro,50,1,8
724,2021-04-05,Free,0,1,5
725,2022-01-01,Basic,20,0,8
726,2022-01-21,Free,0,0,3
727,2022-07-13,Pro,50,0,6
728,2022-06-27,Basic,20,0,11
729,2023-06-30,Free,0,0,4
730,2021-01-24,Free,0,1,2
731,2022-06-01,Free,0,0,4
732,2020-09-12,Basic,20,0,7
733,2021-12-09,Free,0,1,2
734,2021-03-25,Free,0,0,3
735,2020-01-10,Enterprise,120,0,9
736,2022-04-03,Pro,50,0,11
737,2022-03-08,Basic,20,0,9
738,2023-06-19,Enterprise,120,0,8
739,2023-06-28,Free,0,1,1
740,2022-05-26,Basic,20,1,8
741,2022-10-25,Basic,20,0,6
742,2023-02-16,Basic,20,0,9
